op,idx,behavioral_time,rtl_cycle,ratio,interval_ratio
MUL,0,18,403,22.388889,
MUL,1,35,427,12.2,1.411765
MUL,2,52,452,8.692308,1.470588
MUL,3,69,477,6.913043,1.470588
MUL,4,86,502,5.837209,1.470588
MUL,5,103,527,5.116505,1.470588
MUL,6,120,552,4.6,1.470588
MUL,7,137,577,4.211679,1.470588
MUL,8,154,602,3.909091,1.470588
MUL,9,171,627,3.666667,1.470588
MUL,10,188,652,3.468085,1.470588
MUL,11,205,677,3.302439,1.470588
MUL,12,222,702,3.162162,1.470588
MUL,13,239,727,3.041841,1.470588
MUL,14,256,752,2.9375,1.470588
MUL,15,273,777,2.846154,1.470588
MUL,16,290,802,2.765517,1.470588
MUL,17,307,827,2.693811,1.470588
MUL,18,324,852,2.62963,1.470588
MUL,19,341,877,2.571848,1.470588
MUL,20,358,902,2.519553,1.470588
MUL,21,375,927,2.472,1.470588
MUL,22,392,952,2.428571,1.470588
MUL,23,409,977,2.388753,1.470588
MUL,24,426,1002,2.352113,1.470588
MUL,25,443,1027,2.318284,1.470588
MUL,26,460,1052,2.286957,1.470588
MUL,27,477,1077,2.257862,1.470588
MUL,28,494,1102,2.230769,1.470588
MUL,29,511,1127,2.205479,1.470588
MUL,30,528,1152,2.181818,1.470588
MUL,31,545,1177,2.159633,1.470588
MUL,32,562,1202,2.13879,1.470588
MUL,33,579,1227,2.119171,1.470588
MUL,34,596,1252,2.100671,1.470588
MUL,35,613,1277,2.083197,1.470588
MUL,36,630,1302,2.066667,1.470588
MUL,37,647,1327,2.051005,1.470588
MUL,38,664,1352,2.036145,1.470588
MUL,39,681,1377,2.022026,1.470588
MUL,40,698,1402,2.008596,1.470588
MUL,41,715,1427,1.995804,1.470588
MUL,42,732,1452,1.983607,1.470588
MUL,43,749,1477,1.971963,1.470588
MUL,44,766,1502,1.960836,1.470588
MUL,45,783,1527,1.950192,1.470588
MUL,46,800,1552,1.94,1.470588
MUL,47,817,1577,1.930233,1.470588
MUL,48,834,1602,1.920863,1.470588
MUL,49,851,1627,1.911868,1.470588
MUL,50,868,1652,1.903226,1.470588
MUL,51,885,1677,1.894915,1.470588
MUL,52,902,1702,1.886918,1.470588
MUL,53,919,1727,1.879217,1.470588
MUL,54,936,1752,1.871795,1.470588
MUL,55,953,1777,1.864638,1.470588
MUL,56,970,1802,1.857732,1.470588
MUL,57,987,1827,1.851064,1.470588
MUL,58,1004,1852,1.844622,1.470588
MUL,59,1021,1877,1.838394,1.470588
MUL,60,1038,1902,1.83237,1.470588
MUL,61,1055,1927,1.82654,1.470588
MUL,62,1072,1952,1.820896,1.470588
MUL,63,1089,1977,1.815427,1.470588
STORE,0,21,406,19.333333,
STORE,1,38,431,11.342105,1.470588
STORE,2,55,456,8.290909,1.470588
STORE,3,72,481,6.680556,1.470588
STORE,4,89,506,5.685393,1.470588
STORE,5,106,531,5.009434,1.470588
STORE,6,123,556,4.520325,1.470588
STORE,7,140,581,4.15,1.470588
STORE,8,157,606,3.859873,1.470588
STORE,9,174,631,3.626437,1.470588
STORE,10,191,656,3.434555,1.470588
STORE,11,208,681,3.274038,1.470588
STORE,12,225,706,3.137778,1.470588
STORE,13,242,731,3.020661,1.470588
STORE,14,259,756,2.918919,1.470588
STORE,15,276,781,2.82971,1.470588
STORE,16,293,806,2.750853,1.470588
STORE,17,310,831,2.680645,1.470588
STORE,18,327,856,2.617737,1.470588
STORE,19,344,881,2.561047,1.470588
STORE,20,361,906,2.509695,1.470588
STORE,21,378,931,2.462963,1.470588
STORE,22,395,956,2.420253,1.470588
STORE,23,412,981,2.381068,1.470588
