op,idx,behavioral_time,rtl_cycle,rtl_corrected,correction_error,ratio,interval_ratio
MUL,0,8,146,-28.34,-36.34,18.25,
MUL,1,19,205,18.27,-0.73,10.789474,5.363636
MUL,2,30,220,30.12,0.12,7.333333,1.363636
MUL,3,41,234,41.18,0.18,5.707317,1.272727
MUL,4,52,248,52.24,0.24,4.769231,1.272727
MUL,5,63,262,63.3,0.3,4.15873,1.272727
MUL,6,74,276,74.36,0.36,3.72973,1.272727
MUL,7,85,290,85.41,0.41,3.411765,1.272727
MUL,8,96,303,95.68,-0.32,3.15625,1.181818
MUL,9,107,317,106.74,-0.26,2.962617,1.272727
MUL,10,118,331,117.8,-0.2,2.805085,1.272727
MUL,11,129,345,128.86,-0.14,2.674419,1.272727
MUL,12,140,359,139.92,-0.08,2.564286,1.272727
MUL,13,151,373,150.98,-0.02,2.470199,1.272727
MUL,14,162,387,162.04,0.04,2.388889,1.272727
MUL,15,173,401,173.1,0.1,2.317919,1.272727
STORE,0,44,196,11.16,-32.84,4.454545,
STORE,1,88,210,22.22,-65.78,2.386364,0.318182
STORE,2,132,224,33.28,-98.72,1.69697,0.318182
STORE,3,176,238,44.34,-131.66,1.352273,0.318182
ADD,0,9,174,-6.22,-15.22,19.333333,
ADD,1,15,194,9.58,-5.42,12.933333,3.333333
ADD,2,20,208,20.64,0.64,10.4,2.8
ADD,3,26,216,26.96,0.96,8.307692,1.333333
ADD,4,31,222,31.7,0.7,7.16129,1.2
ADD,5,37,230,38.02,1.02,6.216216,1.333333
ADD,6,40,236,42.76,2.76,5.9,2.0
ADD,7,42,244,49.08,7.08,5.809524,4.0
ADD,8,48,250,53.82,5.82,5.208333,1.0
ADD,9,53,258,60.14,7.14,4.867925,1.6
ADD,10,59,264,64.88,5.88,4.474576,1.0
ADD,11,64,272,71.2,7.2,4.25,1.6
ADD,12,70,278,75.94,5.94,3.971429,1.0
ADD,13,75,286,82.25,7.25,3.813333,1.6
ADD,14,81,292,86.99,5.99,3.604938,1.0
ADD,15,84,300,93.31,9.31,3.571429,2.666667
ADD,16,86,306,98.05,12.05,3.55814,3.0
ADD,17,92,314,104.37,12.37,3.413043,1.333333
ADD,18,97,320,109.11,12.11,3.298969,1.2
ADD,19,103,328,115.43,12.43,3.184466,1.333333
ADD,20,108,334,120.17,12.17,3.092593,1.2
ADD,21,114,342,126.49,12.49,3.0,1.333333
ADD,22,119,348,131.23,12.23,2.92437,1.2
ADD,23,125,356,137.55,12.55,2.848,1.333333
ADD,24,128,362,142.29,14.29,2.828125,2.0
ADD,25,130,370,148.61,18.61,2.846154,4.0
ADD,26,136,376,153.35,17.35,2.764706,1.0
ADD,27,141,384,159.67,18.67,2.723404,1.6
ADD,28,147,390,164.41,17.41,2.653061,1.0
ADD,29,152,398,170.73,18.73,2.618421,1.6
