stage_id,times_value,start_cycle,end_cycle,duration_cycles,started_tiles_min,started_tiles_max,complete_tiles_min,complete_tiles_max,active_tiles_avg,active_tiles_max,dominant_op,top_ops,addr_max_min,addr_max_max
0,0,0,86,87,0,1,0,0,0.299,1,(grant_pred),(grant_pred):26,0,0
1,1,87,87,1,1,1,0,0,0.0,0,idle,,1,1
2,2,88,88,1,1,1,0,0,1.0,1,(grant_pred),(grant_pred):1,2,2
3,3,89,89,1,1,1,0,0,0.0,0,idle,,3,3
4,4,90,121,32,1,2,0,0,1.062,2,(grant_once'),(grant_once'):32|(grant_pred):1|(ph):1,4,4
5,5,122,122,1,2,2,0,0,2.0,2,(grant_once'),(grant_once'):1|(ret_void):1,5,5
6,6,123,123,1,2,2,0,0,1.0,1,(grant_once'),(grant_once'):1,6,6
7,7,124,124,1,2,2,0,0,1.0,1,(grant_once'),(grant_once'):1,7,7
8,8,125,125,1,2,2,0,0,1.0,1,(grant_once'),(grant_once'):1,8,8
9,9,126,126,1,2,2,0,0,1.0,1,(grant_once'),(grant_once'):1,9,9
10,10,127,127,1,2,2,0,0,1.0,1,(grant_once'),(grant_once'):1,10,10
11,11,128,128,1,2,2,0,0,1.0,1,(grant_once'),(grant_once'):1,11,11
12,12,129,160,32,2,3,0,0,1.125,2,(grant_once'),(grant_once'):32|(ld):1|(grant_pred):1|(+):1|(st):1,12,12
13,13,161,161,1,3,3,0,0,1.0,1,(grant_once'),(grant_once'):1,13,13
14,14,162,361,200,3,9,0,0,3.91,6,(grant_once'),(grant_pred):268|(&):203|(grant_once'):192|(const):54|(+'):39|(ph*):15,14,14
15,15,362,364,3,9,9,0,0,5.0,5,(grant_pred),(grant_pred):9|(ph*):4|(+'):2,15,15
16,16,365,365,1,9,9,0,0,6.0,6,(grant_pred),(grant_pred):4|(!):2,16,16
17,17,366,366,1,9,9,0,0,5.0,5,(grant_pred),(grant_pred):3|(grant_once):1|(+'):1,16,16
18,18,367,368,2,9,9,0,0,6.0,6,(grant_pred),(grant_pred):7|(const):2|(ph*):2|(ld):1,15,16
19,19,369,369,1,9,9,0,0,7.0,7,(grant_pred),(grant_pred):4|(ld):1|(const):1|(ph*):1,16,16
20,20,370,371,2,9,9,0,0,6.0,6,(grant_pred),(grant_pred):7|(const):2|(ph*):2|(ld):1,16,16
21,21,372,374,3,9,9,0,0,8.333,9,(grant_pred),(grant_pred):10|(grant_once'):3|(ph):3|(ld):3|(const):3|(ph*):3,16,16
22,22,375,375,1,9,9,0,0,8.0,8,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(ld):1|(const):1|(ph*):1,16,16
23,23,376,376,1,9,9,0,0,8.0,8,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(ld):1|(const):1|(ph*):1,16,16
24,24,377,377,1,9,9,0,0,8.0,8,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(ld):1|(const):1|(ph*):1,16,16
25,25,378,378,1,9,9,0,0,8.0,8,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(ld):1|(const):1|(ph*):1,16,16
26,26,379,379,1,9,9,0,0,8.0,8,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(ld):1|(const):1|(ph*):1,16,16
27,27,380,380,1,9,9,0,0,8.0,8,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(ld):1|(const):1|(ph*):1,16,16
28,28,381,381,1,10,10,0,0,8.0,8,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(ld):1|(const):1|(ph*):1,16,16
29,29,382,382,1,10,10,0,0,9.0,9,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(ld):1|(const):1|(ph*):1,16,16
30,30,383,383,1,10,10,0,0,9.0,9,(grant_pred),(grant_pred):4|(grant_once'):1|(ph):1|(ld):1|(const):1|(ph*):1,16,16
31,31,384,416,33,10,10,0,0,7.152,9,(grant_pred),(grant_pred):77|(ph*):35|(grant_once'):28|(ph):22|(ld):22|(const):20,14,16
32,32,417,421,5,10,10,0,0,5.0,5,(grant_pred),(grant_pred):13|(ph*):7|(==):2|(+'):2|(!):1,15,15
33,33,422,422,1,10,10,0,0,6.0,6,(!),(!):2|(grant_pred):2|(+'):1|(==):1,16,16
34,34,423,423,1,10,10,0,0,6.0,6,(grant_pred),(grant_pred):3|(grant_once):1|(ph*):1|(!):1,16,16
35,35,424,425,2,10,10,0,0,7.5,8,(grant_pred),(grant_pred):7|(ld):3|(const):2|(+'):2|(ph*):1,16,16
36,36,426,426,1,10,10,0,0,6.0,6,(const),(const):2|(+'):2|(grant_pred):1|(ld):1,16,16
37,37,427,428,2,10,10,0,0,8.0,8,(grant_pred),(grant_pred):7|(const):3|(ld):2|(?>'):2|(*):1|(==):1,3,3
38,38,429,430,2,10,10,0,0,9.0,9,(grant_pred),(grant_pred):9|(grant_once'):2|(ph):2|(&):2|(?>'):1|(!):1,4,4
39,39,431,431,1,10,10,0,0,7.0,7,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(st):1|(&):1,5,5
40,40,432,432,1,10,10,0,0,5.0,5,(grant_once'),(grant_once'):2|(ret_void):1|(grant_once):1|(grant_pred):1,6,6
41,41,433,433,1,10,10,0,0,5.0,5,(grant_once'),(grant_once'):2|(grant_pred):2|(grant_once):1,7,7
42,42,434,434,1,10,10,0,0,4.0,4,(grant_pred),(grant_pred):3|(->):1,8,8
43,43,435,435,1,10,10,0,0,5.0,5,(grant_pred),(grant_pred):3|(->):1|(ph*):1,9,9
44,44,436,436,1,10,10,0,0,4.0,4,(ph*),(ph*):3|(grant_pred):1,10,10
45,45,437,437,1,10,10,0,0,3.0,3,(ph*),(ph*):2|(->):1,11,11
46,46,438,438,1,10,10,0,0,3.0,3,(ph*),(ph*):2|(grant_once'):1,12,12
47,47,439,439,1,10,10,0,0,5.0,5,(grant_pred),(grant_pred):2|(ph*):2|(+'):1,13,13
48,48,440,442,3,10,10,0,0,4.0,5,(ph*),(ph*):5|(grant_pred):3|(==):2|(->):1|(!):1,14,14
49,49,443,446,4,10,10,0,0,5.0,5,(grant_pred),(grant_pred):11|(ph*):5|(==):2|(+'):2,15,15
50,50,447,447,1,10,10,0,0,6.0,6,(!),(!):2|(grant_pred):2|(+'):1|(==):1,16,16
51,51,448,448,1,10,10,0,0,6.0,6,(grant_pred),(grant_pred):3|(grant_once):1|(ph*):1|(!):1,16,16
52,52,449,450,2,10,10,0,0,7.5,8,(grant_pred),(grant_pred):7|(ld):3|(const):2|(+'):2|(ph*):1,16,16
53,53,451,451,1,10,10,0,0,6.0,6,(const),(const):2|(+'):2|(grant_pred):1|(ld):1,16,16
54,54,452,453,2,10,10,0,0,8.0,8,(grant_pred),(grant_pred):7|(const):3|(ld):2|(?>'):2|(*):1|(==):1,3,3
55,55,454,455,2,10,10,0,0,9.0,9,(grant_pred),(grant_pred):9|(grant_once'):2|(ph):2|(&):2|(?>'):1|(!):1,4,4
56,56,456,456,1,10,10,0,0,7.0,7,(grant_pred),(grant_pred):3|(grant_once'):1|(ph):1|(st):1|(&):1,5,5
