stage_id,times_value,start_cycle,end_cycle,duration_cycles,started_tiles_min,started_tiles_max,complete_tiles_min,complete_tiles_max,active_tiles_avg,active_tiles_max,dominant_op,top_ops,addr_max_min,addr_max_max
0,0,0,43,44,0,1,0,0,0.295,1,(grant_once'),(grant_once'):13,0,0
1,1,44,44,1,1,1,0,0,1.0,1,(ph*),(ph*):1,1,1
2,2,45,45,1,1,1,0,0,1.0,1,(<<'),(<<'):1,2,2
3,3,46,46,1,1,1,0,0,1.0,1,(+'),(+'):1,3,3
4,4,47,47,1,1,1,0,0,0.0,0,idle,,4,4
5,5,48,48,1,1,1,0,0,0.0,0,idle,,5,5
6,6,49,49,1,1,1,0,0,0.0,0,idle,,6,6
7,7,50,127,78,1,5,0,0,2.41,5,(ld),(ld):105|(grant_pred):58|(st):16|(ph*):5|(+'):2|(=='):1,7,7
8,8,128,128,1,5,5,0,0,4.0,4,(grant_pred),(grant_pred):2|(ld):1|(=='):1,8,8
9,9,129,129,1,5,5,0,0,5.0,5,(grant_pred),(grant_pred):2|(+'):1|(ld):1|(=='):1,9,9
10,10,130,130,1,5,5,0,0,4.0,4,(grant_pred),(grant_pred):2|(ld):1|(=='):1,10,10
11,11,131,149,19,5,6,0,0,4.421,5,(grant_once'),(grant_pred):28|(grant_once'):19|(=='):16|(ld):14|(!):3|(+'):1,8,10
12,12,150,150,1,6,6,0,0,3.0,3,(ph*),(ph*):1|(st):1|(grant_pred):1,8,8
13,13,151,151,1,6,6,0,0,2.0,2,(<<'),(<<'):1|(st):1,8,8
14,14,152,152,1,7,7,0,0,4.0,4,(ph*),(ph*):2|(+'):1|(st):1,8,8
15,15,153,153,1,7,7,0,0,2.0,2,(st),(st):1|(ph*):1,8,8
16,16,154,154,1,7,7,0,0,3.0,3,(ph*),(ph*):2|(st):1,8,8
17,17,155,155,1,7,7,0,0,3.0,3,(st),(st):1|(ph*):1|(+'):1,8,8
18,18,156,158,3,7,7,0,0,3.667,4,(ld),(st):3|(=='):3|(grant_pred):2|(ld):2|(+'):1,8,8
19,19,159,159,1,7,7,0,0,4.0,4,(=='),(=='):2|(ld):1|(st):1,8,8
20,20,160,160,1,7,7,0,0,5.0,5,(=='),(=='):2|(+'):1|(ld):1|(st):1,9,9
21,21,161,161,1,7,7,0,0,4.0,4,(=='),(=='):2|(ld):1|(st):1,10,10
22,22,162,208,47,7,9,0,0,5.787,8,(grant_pred),(grant_pred):63|(=='):56|(grant_once'):49|(st):36|(ret_void):36|(ld):16,8,10
23,23,209,209,1,9,9,0,0,6.0,6,(grant_pred),(grant_pred):4|(ph*):1|(st):1,10,10
24,24,210,210,1,9,9,0,0,3.0,3,(<<'),(<<'):1|(st):1|(grant_pred):1,2,2
25,25,211,211,1,9,9,0,0,3.0,3,(ph*),(ph*):2|(+'):1,3,3
26,26,212,212,1,9,9,0,0,1.0,1,(ph*),(ph*):1,4,4
27,27,213,213,1,9,9,0,0,2.0,2,(ph*),(ph*):2,5,5
28,28,214,214,1,9,9,0,0,2.0,2,(ph*),(ph*):1|(+'):1,6,6
29,29,215,215,1,9,9,0,0,2.0,2,(grant_pred),(grant_pred):1|(=='):1,7,7
30,30,216,216,1,9,9,0,0,5.0,5,(ld),(ld):2|(grant_pred):1|(+):1|(+'):1,8,8
31,31,217,217,1,9,9,0,0,6.0,6,(ld),(ld):2|(+'):1|(grant_pred):1|(!):1|(grant_once'):1,9,9
32,32,218,220,3,9,9,0,0,5.667,6,(ld),(ph*):4|(grant_pred):3|(ret_void):3|(=='):2|(!):2|(ld):1,10,10
33,33,221,222,2,9,9,0,0,6.0,6,(grant_pred),(grant_pred):8|(grant_once'):2|(ret_void):1|(+):1,10,10
34,34,223,223,1,9,9,0,0,4.0,4,(grant_pred),(grant_pred):2|(ph*):1|(st):1,10,10
35,35,224,224,1,9,9,0,0,3.0,3,(<<'),(<<'):1|(st):1|(grant_pred):1,2,2
36,36,225,225,1,9,9,0,0,3.0,3,(ph*),(ph*):2|(+'):1,3,3
37,37,226,226,1,9,9,0,0,1.0,1,(ph*),(ph*):1,4,4
38,38,227,227,1,9,9,0,0,2.0,2,(ph*),(ph*):2,5,5
39,39,228,228,1,9,9,0,0,2.0,2,(ph*),(ph*):1|(+'):1,6,6
40,40,229,229,1,9,9,0,0,2.0,2,(grant_pred),(grant_pred):1|(=='):1,7,7
41,41,230,230,1,9,9,0,0,6.0,6,(ld),(ld):2|(grant_pred):1|(+):1|(+'):1|(grant_once'):1,8,8
42,42,231,231,1,9,9,0,0,6.0,6,(ld),(ld):2|(+'):1|(grant_pred):1|(!):1|(ph*):1,9,9
43,43,232,234,3,9,9,0,0,5.667,6,(ld),(grant_pred):4|(ret_void):3|(ph*):3|(=='):2|(!):2|(ld):1,10,10
44,44,235,236,2,9,9,0,0,5.5,7,(grant_pred),(grant_pred):7|(grant_once'):2|(ret_void):1|(+):1,10,10
45,45,237,237,1,9,9,0,0,4.0,4,(grant_pred),(grant_pred):2|(ph*):1|(st):1,10,10
46,46,238,238,1,9,9,0,0,3.0,3,(<<'),(<<'):1|(st):1|(grant_pred):1,2,2
47,47,239,239,1,9,9,0,0,3.0,3,(ph*),(ph*):2|(+'):1,3,3
48,48,240,240,1,9,9,0,0,1.0,1,(ph*),(ph*):1,4,4
49,49,241,241,1,9,9,0,0,2.0,2,(ph*),(ph*):2,5,5
50,50,242,242,1,9,9,0,0,2.0,2,(ph*),(ph*):1|(+'):1,6,6
51,51,243,243,1,9,9,0,0,3.0,3,(grant_pred),(grant_pred):1|(=='):1|(grant_once'):1,7,7
52,52,244,244,1,9,9,0,0,6.0,6,(ld),(ld):2|(grant_pred):1|(+):1|(+'):1|(ph*):1,8,8
53,53,245,245,1,9,9,0,0,6.0,6,(ld),(ld):2|(+'):1|(grant_pred):1|(!):1|(ph*):1,9,9
